name,region,pref,lat,lon,height,range_nm,desc,lens,visited
宗谷岬灯台,北海道,北海道,45.5222,141.9367,17,17.5,日本最北端の灯台,不明,未訪問
神威岬灯台,北海道,北海道,43.3303,140.3475,18,19.0,積丹半島の先端に立つ絶景の灯台,不明,未訪問
納沙布岬灯台,北海道,北海道,43.3847,145.8147,13,15.0,本土で最も早い初日の出が見られる灯台,不明,未訪問
恵山岬灯台,北海道,北海道,41.8108,141.1714,19,13.5,太平洋と津軽海峡を望む白亜の灯台,不明,未訪問
チキウ岬灯台,北海道,北海道,42.3025,140.9881,15,23.5,室蘭の断崖絶壁の上に立つ日本の灯台50選,不明,未訪問
稚内灯台,北海道,北海道,45.4497,141.6467,43,18.0,赤白のストライプ模様が特徴的な灯台,不明,未訪問
網走灯台,北海道,北海道,44.0208,144.2889,14,17.5,オホーツク海を一望できる歴史ある灯台,不明,未訪問
知床岬灯台,北海道,北海道,44.3436,145.3303,12,12.0,世界自然遺産の知床岬先端にある灯台,不明,未訪問
釧路埼灯台,北海道,北海道,42.9664,144.3683,17,14.0,釧路港の安全を見守る白亜の灯台,不明,未訪問
焼尻島灯台,北海道,北海道,44.4367,141.4086,12,12.0,日本海の離島・焼尻島に佇む灯台,不明,未訪問
奥尻島灯台,北海道,北海道,42.2217,139.5283,16,15.0,奥尻島北端の勝澗崎に立つ灯台,不明,未訪問
大間埼灯台,東北,青森県,41.5458,140.9108,25,17.0,本州最北端の弁天島に位置する白黒模様の灯台,不明,未訪問
龍飛埼灯台,東北,青森県,41.2581,140.3417,14,23.5,津軽半島最北端の竜飛崎に立つ灯台,不明,未訪問
尻屋埼灯台,東北,青森県,41.4286,141.4639,33,18.5,寒立馬が放牧されるレンガ造りの美塔（参観灯台）,不明,未訪問
鮫角灯台,東北,青森県,40.5408,141.5647,23,19.5,八戸港を見下ろす日本の灯台50選,不明,未訪問
入道埼灯台,東北,秋田県,39.9556,139.7025,28,20.0,白黒の縞模様が映える男鹿半島の参観灯台,不明,未訪問
陸中黒埼灯台,東北,岩手県,40.0064,141.9317,18,18.0,北緯40度線上に位置する太平洋を望む灯台,不明,未訪問
とどヶ埼灯台,東北,岩手県,39.5444,142.0722,34,19.5,本州最東端に立つ白亜の灯台,不明,未訪問
金華山灯台,東北,宮城県,38.2883,141.5728,13,18.5,霊峰金華山の東端に佇む明治初期の洋式灯台,不明,未訪問
鵜ノ尾埼灯台,東北,福島県,37.8228,141.0003,18,17.0,相馬市の太平洋に突き出た絶壁の灯台,不明,未訪問
塩屋埼灯台,東北,福島県,36.9936,140.9856,27,22.0,美空ひばりの歌でも有名な参観灯台,不明,未訪問
飛島灯台,東北,山形県,39.1978,139.5583,18,15.5,酒田沖の飛島に立つ日本海を見守る灯台,不明,未訪問
犬吠埼灯台,関東,千葉県,35.7081,140.8656,31,19.5,関東最東端に立つレンガ造りの参観灯台,不明,未訪問
野島埼灯台,関東,千葉県,34.9014,139.8761,29,17.0,房総半島最南端に立つ日本最古級の参観灯台,不明,未訪問
勝浦灯台,関東,千葉県,35.1322,140.3103,21,18.5,太平洋に面した勝浦の崖上に立つ白亜の灯台,不明,未訪問
洲崎灯台,関東,千葉県,34.9739,139.7561,15,14.5,東京湾の入り口を見守る浦賀水道の標識,不明,未訪問
太東埼灯台,関東,千葉県,35.3092,140.3886,16,16.0,九十九里浜の南端に佇む小型の絶景灯台,不明,未訪問
観音埼灯台,関東,神奈川県,35.2614,139.7431,19,19.0,日本初の洋式灯台として誕生した参観灯台,不明,未訪問
城ヶ島灯台,関東,神奈川県,35.135,139.6108,11,15.5,三浦半島最南端に佇む歴史的な洋式灯台,不明,未訪問
剣埼灯台,関東,神奈川県,35.1436,139.6781,17,16.5,東京湾の南の玄関口を守る白亜の灯台,不明,未訪問
伊豆大島灯台,関東,東京都,34.7925,139.385,16,17.0,伊豆大島の北端・竜の口に位置する灯台,不明,未訪問
八丈島灯台,関東,東京都,33.1092,139.8339,17,18.0,八丈島の南東端に立つ大型灯台,不明,未訪問
大洗灯台,関東,茨城県,36.315,140.5878,14,12.0,太平洋を臨む大洗の景勝地に立つ灯台,不明,未訪問
波崎灯台,関東,茨城県,35.7511,140.8367,15,13.0,利根川河口近くの沿岸を守る灯台,不明,未訪問
禄剛埼灯台,中部,石川県,37.5258,137.3272,16,18.0,能登半島最北端に立つ朝日と夕日が見える灯台,不明,未訪問
輪島灯台,中部,石川県,37.3975,136.8925,23,17.0,能登半島北西部の輪島港を見下ろす灯台,不明,未訪問
舳倉島灯台,中部,石川県,37.8483,136.9189,33,18.0,日本海の離島・舳倉島の中央に立つ大型灯台,不明,未訪問
東尋坊灯台,中部,福井県,36.2481,136.1264,14,15.5,名勝・東尋坊の崖近くに立つ八角形の灯台,不明,未訪問
越前岬灯台,中部,福井県,35.9767,135.9622,12,19.0,越前海岸の断崖上に立つ白亜の灯台,不明,未訪問
姫埼灯台,中部,新潟県,38.0833,138.5639,14,17.5,佐渡島東端に立つ日本最古の現役鉄造灯台,不明,未訪問
沢崎鼻灯台,中部,新潟県,37.8175,138.2047,24,17.5,佐渡島最南端にそびえる八角形の大型灯台,不明,未訪問
石廊埼灯台,中部,静岡県,34.6017,138.8436,11,15.0,伊豆半島最南端の断崖絶壁に立つ灯台,不明,未訪問
神子元島灯台,中部,静岡県,34.575,138.9406,23,19.5,世界灯台100選にも選ばれた現役最古の洋式石造灯台,不明,未訪問
爪木埼灯台,中部,静岡県,34.6625,138.9839,17,16.0,水仙の群生地として有名な伊豆半島の灯台,不明,未訪問
御前埼灯台,中部,静岡県,34.5969,138.2253,22,19.5,遠州灘と駿河湾を分ける白亜の参観灯台,不明,未訪問
清水灯台,中部,静岡県,34.9972,138.5208,18,13.5,日本初の鉄筋コンクリート製灯台（三保の松原近く）,不明,未訪問
伊良湖岬灯台,中部,愛知県,34.6144,137.0186,15,14.0,渥美半島最先端に立つロマンチックな灯台,不明,未訪問
野間灯台,中部,愛知県,34.7678,136.8469,18,10.5,知多半島最古の愛知県を代表する灯台,不明,未訪問
菅島灯台,中部,三重県,34.5161,136.8847,10,13.0,レンガ造りとしては日本最古級の洋式灯台,不明,未訪問
大王埼灯台,中部,三重県,34.2783,136.8894,23,18.5,志摩半島の断崖にそびえる絵描きの町の参観灯台,不明,未訪問
安乗埼灯台,中部,三重県,34.3597,136.9036,13,16.0,全国でも珍しい四角形の参観灯台,不明,未訪問
麦崎灯台,中部,三重県,34.2389,136.8286,12,13.0,志摩半島最南端の岬に立つ白亜の灯台,不明,未訪問
潮岬灯台,近畿,和歌山県,33.4386,135.7553,23,19.0,本州最南端に立つ石造りの参観灯台,不明,未訪問
紀伊日ノ御埼灯台,近畿,和歌山県,33.8822,135.06,16,21.0,紀伊半島の最西端に立つ大型灯台,不明,未訪問
樫野埼灯台,近畿,和歌山県,33.4728,135.8569,14,17.0,日本最古の石造洋式灯台（トルコ記念館近く）,不明,未訪問
友ヶ島灯台,近畿,和歌山県,34.2814,135.0003,12,16.5,紀淡海峡に浮かぶラピュタのような島の灯台,不明,未訪問
経ヶ岬灯台,近畿,京都府,35.7778,135.2289,12,22.0,丹後半島最北端の最高級レンズを持つ参観灯台,不明,未訪問
博奕岬灯台,近畿,京都府,35.5392,135.3411,13,18.0,舞鶴湾の入口を見守る断崖の灯台,不明,未訪問
江埼灯台,近畿,兵庫県,34.5986,134.9922,8,18.0,明石海峡を見下ろす淡路島北端の歴史的洋式灯台,不明,未訪問
余部埼灯台,近畿,兵庫県,35.6483,134.5572,14,23.0,日本一高い位置（海面284m）にある灯台,不明,未訪問
出雲日御碕灯台,中国,島根県,35.4328,132.6289,43,21.0,石造り日本一の高さを誇る世界灯台100選の参観灯台,不明,未訪問
美保関灯台,中国,島根県,35.5672,133.3286,14,19.5,山陰最古の洋式石造灯台,不明,未訪問
角島灯台,中国,山口県,34.3522,130.8467,30,18.5,御影石造りの無塗装美しい参観灯台,不明,未訪問
笠山灯台,中国,山口県,34.4444,131.3986,13,15.5,萩市の笠山山頂近くから日本海を望む灯台,不明,未訪問
網代港灯台,中国,鳥取県,35.5861,134.2906,11,12.0,山陰海岸ジオパークの絶景の中に立つ灯台,不明,未訪問
室戸岬灯台,四国,高知県,33.2475,134.1764,15,26.5,日本最大級の1等レンズを持つ参観灯台,不明,未訪問
足摺岬灯台,四国,高知県,32.7231,133.0244,18,19.5,四国最南端の断崖上に立つ白亜の灯台,不明,未訪問
佐田岬灯台,四国,愛媛県,33.3422,132.0156,18,19.0,四国最西端の細長い半島先端に立つ灯台,不明,未訪問
大角鼻灯台,四国,愛媛県,34.1925,132.9364,15,15.0,来島海峡の安全を守る愛媛県最北端の灯台,不明,未訪問
蒲生田岬灯台,四国,徳島県,33.8344,134.7503,11,18.5,四国最東端に位置するハートモニュメントのある灯台,不明,未訪問
男木島灯台,四国,香川県,34.4364,134.0536,14,13.0,総御影石造りの美しい無塗装参観灯台,不明,未訪問
部埼灯台,九州,福岡県,33.9575,131.0289,10,18.0,関門海峡の東口を見守る歴史的洋式灯台,不明,未訪問
